Date;Objet;Équipement;Commande;Type Générique;Valeur;Unité
2026-04-02 02:09:08;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 02:10:08;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 02:11:08;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 02:13:08;Marstek;Marstek Venus E V3;AC Power;;39;W
2026-04-02 02:14:08;Marstek;Marstek Venus E V3;AC Power;;46;W
2026-04-02 02:15:08;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 02:18:08;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 02:19:08;Marstek;Marstek Venus E V3;AC Power;;260;W
2026-04-02 02:20:08;Marstek;Marstek Venus E V3;AC Power;;121;W
2026-04-02 02:21:08;Marstek;Marstek Venus E V3;AC Power;;115;W
2026-04-02 02:22:08;Marstek;Marstek Venus E V3;AC Power;;111;W
2026-04-02 02:23:08;Marstek;Marstek Venus E V3;AC Power;;109;W
2026-04-02 02:24:08;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 02:25:08;Marstek;Marstek Venus E V3;AC Power;;103;W
2026-04-02 02:26:08;Marstek;Marstek Venus E V3;AC Power;;110;W
2026-04-02 02:27:08;Marstek;Marstek Venus E V3;AC Power;;117;W
2026-04-02 02:28:08;Marstek;Marstek Venus E V3;AC Power;;109;W
2026-04-02 02:29:07;Marstek;Marstek Venus E V3;AC Power;;105;W
2026-04-02 02:30:07;Marstek;Marstek Venus E V3;AC Power;;102;W
2026-04-02 02:31:07;Marstek;Marstek Venus E V3;AC Power;;105;W
2026-04-02 02:32:07;Marstek;Marstek Venus E V3;AC Power;;109;W
2026-04-02 02:33:07;Marstek;Marstek Venus E V3;AC Power;;104;W
2026-04-02 02:34:07;Marstek;Marstek Venus E V3;AC Power;;109;W
2026-04-02 02:36:07;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 02:37:07;Marstek;Marstek Venus E V3;AC Power;;110;W
2026-04-02 02:38:07;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 02:39:07;Marstek;Marstek Venus E V3;AC Power;;105;W
2026-04-02 02:40:07;Marstek;Marstek Venus E V3;AC Power;;102;W
2026-04-02 02:41:07;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 02:44:07;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 02:45:07;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 02:49:06;Marstek;Marstek Venus E V3;AC Power;;119;W
2026-04-02 02:50:06;Marstek;Marstek Venus E V3;AC Power;;114;W
2026-04-02 02:51:06;Marstek;Marstek Venus E V3;AC Power;;124;W
2026-04-02 02:52:06;Marstek;Marstek Venus E V3;AC Power;;110;W
2026-04-02 02:53:06;Marstek;Marstek Venus E V3;AC Power;;113;W
2026-04-02 02:54:06;Marstek;Marstek Venus E V3;AC Power;;118;W
2026-04-02 02:55:06;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 02:56:06;Marstek;Marstek Venus E V3;AC Power;;111;W
2026-04-02 02:57:06;Marstek;Marstek Venus E V3;AC Power;;105;W
2026-04-02 02:58:06;Marstek;Marstek Venus E V3;AC Power;;121;W
2026-04-02 02:59:06;Marstek;Marstek Venus E V3;AC Power;;249;W
2026-04-02 03:00:06;Marstek;Marstek Venus E V3;AC Power;;226;W
2026-04-02 03:01:06;Marstek;Marstek Venus E V3;AC Power;;220;W
2026-04-02 03:02:06;Marstek;Marstek Venus E V3;AC Power;;206;W
2026-04-02 03:03:06;Marstek;Marstek Venus E V3;AC Power;;210;W
2026-04-02 03:06:06;Marstek;Marstek Venus E V3;AC Power;;206;W
2026-04-02 03:08:05;Marstek;Marstek Venus E V3;AC Power;;204;W
2026-04-02 03:10:05;Marstek;Marstek Venus E V3;AC Power;;202;W
2026-04-02 03:11:05;Marstek;Marstek Venus E V3;AC Power;;198;W
2026-04-02 03:14:05;Marstek;Marstek Venus E V3;AC Power;;97;W
2026-04-02 03:15:05;Marstek;Marstek Venus E V3;AC Power;;100;W
2026-04-02 03:17:05;Marstek;Marstek Venus E V3;AC Power;;192;W
2026-04-02 03:18:05;Marstek;Marstek Venus E V3;AC Power;;174;W
2026-04-02 03:19:05;Marstek;Marstek Venus E V3;AC Power;;172;W
2026-04-02 03:20:05;Marstek;Marstek Venus E V3;AC Power;;170;W
2026-04-02 03:23:05;Marstek;Marstek Venus E V3;AC Power;;168;W
2026-04-02 03:26:05;Marstek;Marstek Venus E V3;AC Power;;120;W
2026-04-02 03:27:05;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 03:28:05;Marstek;Marstek Venus E V3;AC Power;;111;W
2026-04-02 03:30:04;Marstek;Marstek Venus E V3;AC Power;;112;W
2026-04-02 03:31:04;Marstek;Marstek Venus E V3;AC Power;;109;W
2026-04-02 03:33:05;Marstek;Marstek Venus E V3;AC Power;;111;W
2026-04-02 03:34:04;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 03:35:04;Marstek;Marstek Venus E V3;AC Power;;106;W
2026-04-02 03:38:04;Marstek;Marstek Venus E V3;AC Power;;45;W
2026-04-02 03:39:04;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 03:41:04;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 03:42:04;Marstek;Marstek Venus E V3;AC Power;;39;W
2026-04-02 03:43:04;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 03:44:04;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 03:45:04;Marstek;Marstek Venus E V3;AC Power;;39;W
2026-04-02 03:46:04;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 03:47:04;Marstek;Marstek Venus E V3;AC Power;;38;W
2026-04-02 03:48:04;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 03:50:03;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 03:51:03;Marstek;Marstek Venus E V3;AC Power;;44;W
2026-04-02 03:52:03;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 03:53:04;Marstek;Marstek Venus E V3;AC Power;;37;W
2026-04-02 03:54:03;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 03:55:03;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 03:59:03;Marstek;Marstek Venus E V3;AC Power;;44;W
2026-04-02 04:00:03;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 04:01:03;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 04:02:03;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 04:03:03;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 04:04:03;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 04:05:03;Marstek;Marstek Venus E V3;AC Power;;45;W
2026-04-02 04:06:03;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 04:07:03;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 04:09:02;Marstek;Marstek Venus E V3;AC Power;;37;W
2026-04-02 04:10:03;Marstek;Marstek Venus E V3;AC Power;;39;W
2026-04-02 04:11:02;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 04:12:02;Marstek;Marstek Venus E V3;AC Power;;38;W
2026-04-02 04:13:02;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 04:14:02;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 04:15:02;Marstek;Marstek Venus E V3;AC Power;;128;W
2026-04-02 04:16:02;Marstek;Marstek Venus E V3;AC Power;;117;W
2026-04-02 04:17:02;Marstek;Marstek Venus E V3;AC Power;;112;W
2026-04-02 04:18:02;Marstek;Marstek Venus E V3;AC Power;;0;W
2026-04-02 04:19:02;Marstek;Marstek Venus E V3;AC Power;;117;W
2026-04-02 04:20:02;Marstek;Marstek Venus E V3;AC Power;;106;W
2026-04-02 04:21:02;Marstek;Marstek Venus E V3;AC Power;;124;W
2026-04-02 04:22:02;Marstek;Marstek Venus E V3;AC Power;;106;W
2026-04-02 04:23:02;Marstek;Marstek Venus E V3;AC Power;;112;W
2026-04-02 04:25:02;Marstek;Marstek Venus E V3;AC Power;;110;W
2026-04-02 04:26:01;Marstek;Marstek Venus E V3;AC Power;;111;W
2026-04-02 04:27:02;Marstek;Marstek Venus E V3;AC Power;;110;W
2026-04-02 04:28:02;Marstek;Marstek Venus E V3;AC Power;;113;W
2026-04-02 04:29:01;Marstek;Marstek Venus E V3;AC Power;;108;W
2026-04-02 04:30:02;Marstek;Marstek Venus E V3;AC Power;;111;W
2026-04-02 04:31:02;Marstek;Marstek Venus E V3;AC Power;;103;W
2026-04-02 04:32:01;Marstek;Marstek Venus E V3;AC Power;;99;W
2026-04-02 04:33:02;Marstek;Marstek Venus E V3;AC Power;;105;W
2026-04-02 04:34:02;Marstek;Marstek Venus E V3;AC Power;;104;W
2026-04-02 04:35:01;Marstek;Marstek Venus E V3;AC Power;;50;W
2026-04-02 04:36:02;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 04:37:01;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 04:38:02;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 04:39:01;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 04:40:01;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 04:41:02;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 04:42:01;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 04:46:01;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 04:47:01;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 04:48:01;Marstek;Marstek Venus E V3;AC Power;;167;W
2026-04-02 04:49:01;Marstek;Marstek Venus E V3;AC Power;;159;W
2026-04-02 04:50:01;Marstek;Marstek Venus E V3;AC Power;;222;W
2026-04-02 04:51:01;Marstek;Marstek Venus E V3;AC Power;;216;W
2026-04-02 04:52:01;Marstek;Marstek Venus E V3;AC Power;;214;W
2026-04-02 04:55:01;Marstek;Marstek Venus E V3;AC Power;;212;W
2026-04-02 04:56:01;Marstek;Marstek Venus E V3;AC Power;;210;W
2026-04-02 04:57:01;Marstek;Marstek Venus E V3;AC Power;;208;W
2026-04-02 04:59:01;Marstek;Marstek Venus E V3;AC Power;;206;W
2026-04-02 05:03:00;Marstek;Marstek Venus E V3;AC Power;;102;W
2026-04-02 05:04:00;Marstek;Marstek Venus E V3;AC Power;;106;W
2026-04-02 05:05:00;Marstek;Marstek Venus E V3;AC Power;;111;W
2026-04-02 05:06:00;Marstek;Marstek Venus E V3;AC Power;;108;W
2026-04-02 05:07:00;Marstek;Marstek Venus E V3;AC Power;;106;W
2026-04-02 05:08:00;Marstek;Marstek Venus E V3;AC Power;;97;W
2026-04-02 05:09:00;Marstek;Marstek Venus E V3;AC Power;;102;W
2026-04-02 05:10:00;Marstek;Marstek Venus E V3;AC Power;;98;W
2026-04-02 05:11:00;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 05:12:00;Marstek;Marstek Venus E V3;AC Power;;97;W
2026-04-02 05:13:00;Marstek;Marstek Venus E V3;AC Power;;183;W
2026-04-02 05:14:00;Marstek;Marstek Venus E V3;AC Power;;175;W
2026-04-02 05:15:00;Marstek;Marstek Venus E V3;AC Power;;173;W
2026-04-02 05:16:00;Marstek;Marstek Venus E V3;AC Power;;171;W
2026-04-02 05:19:00;Marstek;Marstek Venus E V3;AC Power;;169;W
2026-04-02 05:21:00;Marstek;Marstek Venus E V3;AC Power;;170;W
2026-04-02 05:22:00;Marstek;Marstek Venus E V3;AC Power;;168;W
2026-04-02 05:25:59;Marstek;Marstek Venus E V3;AC Power;;109;W
2026-04-02 05:26:59;Marstek;Marstek Venus E V3;AC Power;;111;W
2026-04-02 05:27:59;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 05:28:59;Marstek;Marstek Venus E V3;AC Power;;108;W
2026-04-02 05:29:59;Marstek;Marstek Venus E V3;AC Power;;104;W
2026-04-02 05:30:59;Marstek;Marstek Venus E V3;AC Power;;110;W
2026-04-02 05:31:59;Marstek;Marstek Venus E V3;AC Power;;153;W
2026-04-02 05:32:59;Marstek;Marstek Venus E V3;AC Power;;80;W
2026-04-02 05:33:59;Marstek;Marstek Venus E V3;AC Power;;88;W
2026-04-02 05:34:59;Marstek;Marstek Venus E V3;AC Power;;83;W
2026-04-02 05:35:59;Marstek;Marstek Venus E V3;AC Power;;86;W
2026-04-02 05:36:59;Marstek;Marstek Venus E V3;AC Power;;84;W
2026-04-02 05:37:59;Marstek;Marstek Venus E V3;AC Power;;77;W
2026-04-02 05:38:59;Marstek;Marstek Venus E V3;AC Power;;95;W
2026-04-02 05:39:58;Marstek;Marstek Venus E V3;AC Power;;79;W
2026-04-02 05:40:59;Marstek;Marstek Venus E V3;AC Power;;80;W
2026-04-02 05:41:59;Marstek;Marstek Venus E V3;AC Power;;75;W
2026-04-02 05:42:59;Marstek;Marstek Venus E V3;AC Power;;86;W
2026-04-02 05:43:58;Marstek;Marstek Venus E V3;AC Power;;81;W
2026-04-02 05:44:59;Marstek;Marstek Venus E V3;AC Power;;76;W
2026-04-02 05:45:58;Marstek;Marstek Venus E V3;AC Power;;73;W
2026-04-02 05:46:58;Marstek;Marstek Venus E V3;AC Power;;69;W
2026-04-02 05:47:58;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 05:48:58;Marstek;Marstek Venus E V3;AC Power;;44;W
2026-04-02 05:49:58;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 05:50:58;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 05:52:58;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 05:53:58;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 05:54:58;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 05:56:58;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 06:05:58;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 06:06:58;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 06:09:57;Marstek;Marstek Venus E V3;AC Power;;129;W
2026-04-02 06:10:57;Marstek;Marstek Venus E V3;AC Power;;117;W
2026-04-02 06:11:57;Marstek;Marstek Venus E V3;AC Power;;110;W
2026-04-02 06:12:57;Marstek;Marstek Venus E V3;AC Power;;120;W
2026-04-02 06:13:57;Marstek;Marstek Venus E V3;AC Power;;109;W
2026-04-02 06:14:57;Marstek;Marstek Venus E V3;AC Power;;103;W
2026-04-02 06:16:57;Marstek;Marstek Venus E V3;AC Power;;105;W
2026-04-02 06:17:57;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 06:18:57;Marstek;Marstek Venus E V3;AC Power;;115;W
2026-04-02 06:19:57;Marstek;Marstek Venus E V3;AC Power;;112;W
2026-04-02 06:20:57;Marstek;Marstek Venus E V3;AC Power;;104;W
2026-04-02 06:21:57;Marstek;Marstek Venus E V3;AC Power;;116;W
2026-04-02 06:22:56;Marstek;Marstek Venus E V3;AC Power;;104;W
2026-04-02 06:23:56;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 06:24:56;Marstek;Marstek Venus E V3;AC Power;;108;W
2026-04-02 06:26:56;Marstek;Marstek Venus E V3;AC Power;;112;W
2026-04-02 06:28:56;Marstek;Marstek Venus E V3;AC Power;;109;W
2026-04-02 06:29:56;Marstek;Marstek Venus E V3;AC Power;;111;W
2026-04-02 06:30:56;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 06:31:56;Marstek;Marstek Venus E V3;AC Power;;61;W
2026-04-02 06:33:56;Marstek;Marstek Venus E V3;AC Power;;70;W
2026-04-02 06:34:56;Marstek;Marstek Venus E V3;AC Power;;68;W
2026-04-02 06:35:56;Marstek;Marstek Venus E V3;AC Power;;73;W
2026-04-02 06:36:56;Marstek;Marstek Venus E V3;AC Power;;75;W
2026-04-02 06:38:56;Marstek;Marstek Venus E V3;AC Power;;73;W
2026-04-02 06:39:56;Marstek;Marstek Venus E V3;AC Power;;75;W
2026-04-02 06:40:56;Marstek;Marstek Venus E V3;AC Power;;85;W
2026-04-02 06:41:56;Marstek;Marstek Venus E V3;AC Power;;73;W
2026-04-02 06:43:56;Marstek;Marstek Venus E V3;AC Power;;69;W
2026-04-02 06:44:56;Marstek;Marstek Venus E V3;AC Power;;216;W
2026-04-02 06:45:55;Marstek;Marstek Venus E V3;AC Power;;189;W
2026-04-02 06:46:55;Marstek;Marstek Venus E V3;AC Power;;179;W
2026-04-02 06:47:56;Marstek;Marstek Venus E V3;AC Power;;177;W
2026-04-02 06:48:55;Marstek;Marstek Venus E V3;AC Power;;174;W
2026-04-02 06:49:55;Marstek;Marstek Venus E V3;AC Power;;172;W
2026-04-02 06:50:55;Marstek;Marstek Venus E V3;AC Power;;170;W
2026-04-02 06:51:55;Marstek;Marstek Venus E V3;AC Power;;168;W
2026-04-02 06:52:56;Marstek;Marstek Venus E V3;AC Power;;238;W
2026-04-02 06:53:55;Marstek;Marstek Venus E V3;AC Power;;235;W
2026-04-02 06:54:55;Marstek;Marstek Venus E V3;AC Power;;224;W
2026-04-02 06:55:55;Marstek;Marstek Venus E V3;AC Power;;229;W
2026-04-02 06:57:55;Marstek;Marstek Venus E V3;AC Power;;227;W
2026-04-02 06:58:55;Marstek;Marstek Venus E V3;AC Power;;225;W
2026-04-02 07:00:55;Marstek;Marstek Venus E V3;AC Power;;128;W
2026-04-02 07:01:55;Marstek;Marstek Venus E V3;AC Power;;126;W
2026-04-02 07:05:54;Marstek;Marstek Venus E V3;AC Power;;124;W
2026-04-02 07:06:55;Marstek;Marstek Venus E V3;AC Power;;120;W
2026-04-02 07:07:54;Marstek;Marstek Venus E V3;AC Power;;1500;W
2026-04-02 07:08:55;Marstek;Marstek Venus E V3;AC Power;;196;W
2026-04-02 07:09:54;Marstek;Marstek Venus E V3;AC Power;;190;W
2026-04-02 07:10:54;Marstek;Marstek Venus E V3;AC Power;;188;W
2026-04-02 07:11:54;Marstek;Marstek Venus E V3;AC Power;;184;W
2026-04-02 07:12:55;Marstek;Marstek Venus E V3;AC Power;;182;W
2026-04-02 07:15:54;Marstek;Marstek Venus E V3;AC Power;;176;W
2026-04-02 07:17:54;Marstek;Marstek Venus E V3;AC Power;;172;W
2026-04-02 07:18:54;Marstek;Marstek Venus E V3;AC Power;;175;W
2026-04-02 07:20:54;Marstek;Marstek Venus E V3;AC Power;;173;W
2026-04-02 07:22:54;Marstek;Marstek Venus E V3;AC Power;;171;W
2026-04-02 07:24:54;Marstek;Marstek Venus E V3;AC Power;;169;W
2026-04-02 07:25:54;Marstek;Marstek Venus E V3;AC Power;;168;W
2026-04-02 07:26:53;Marstek;Marstek Venus E V3;AC Power;;167;W
2026-04-02 07:27:54;Marstek;Marstek Venus E V3;AC Power;;165;W
2026-04-02 07:28:54;Marstek;Marstek Venus E V3;AC Power;;92;W
2026-04-02 07:30:53;Marstek;Marstek Venus E V3;AC Power;;37;W
2026-04-02 07:31:53;Marstek;Marstek Venus E V3;AC Power;;32;W
2026-04-02 07:33:53;Marstek;Marstek Venus E V3;AC Power;;30;W
2026-04-02 07:34:53;Marstek;Marstek Venus E V3;AC Power;;29;W
2026-04-02 07:35:53;Marstek;Marstek Venus E V3;AC Power;;25;W
2026-04-02 07:36:53;Marstek;Marstek Venus E V3;AC Power;;16;W
